measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1981,1760.6876433319887,1842.131881422849,1655.2018693111638
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1981,0.037320739040785235,0.039017265508755034,0.03500513238277642
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1981,31.630761713542604,33.09390783020289,29.73570929191767
1,Deaths,537,Indiana,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,1,Number,1981,1544.1499277044945,1615.3816752157643,1449.5221867957202
1,Deaths,537,Indiana,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,2,Percent,1981,0.03273087122888584,0.03427466299629905,0.03066719851135832
1,Deaths,537,Indiana,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,1981,27.740660643686486,29.020339319515866,26.040672837495087
1,Deaths,537,Indiana,3,Both,22,All ages,515,Asthma,1,Number,1981,68.12493006405928,72.44466894944244,64.23952042630722
1,Deaths,537,Indiana,3,Both,22,All ages,515,Asthma,2,Percent,1981,0.0014439915683585288,0.0015316813165006872,0.0013565322158338616
1,Deaths,537,Indiana,3,Both,22,All ages,515,Asthma,3,Rate,1981,1.2238646859190234,1.3014688151157865,1.1540632836790108
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1980,1656.943895714177,1734.9670869598408,1556.8396197517054
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1980,0.035083465152751896,0.03664370638577686,0.03304272426566292
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1980,29.82652380929119,31.231013470881457,28.024554184290945
1,Deaths,537,Indiana,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,1,Number,1980,1441.6593901534693,1512.258547443226,1354.5480117479815
1,Deaths,537,Indiana,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,2,Percent,1980,0.030525113963976967,0.031904728685763176,0.028756146772960588
1,Deaths,537,Indiana,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,1980,25.951203439369866,27.22205361798211,24.38311799677161
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1982,1810.4138446635739,1895.0992950817545,1698.1806314834366
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1982,0.03894879833589857,0.0407449477977422,0.03656481213578381
1,Deaths,537,Indiana,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1982,32.47049517297993,33.98936253975933,30.457547681689118
